,season,episode,title,url
102,7,13,First Person Shooter,https://x-files.fandom.com/wiki/First_Person_Shooter
103,7,14,Theef,https://x-files.fandom.com/wiki/Theef
104,7,16,Chimera,https://x-files.fandom.com/wiki/Chimera
105,7,17,all things,https://x-files.fandom.com/wiki/All_things
106,7,18,Brand X,https://x-files.fandom.com/wiki/Brand_X
107,7,19,Hollywood A.D.,https://x-files.fandom.com/wiki/Hollywood_A.D.
108,7,20,Fight Club,https://x-files.fandom.com/wiki/Fight_Club
109,7,21,Je Souhaite,https://x-files.fandom.com/wiki/Je_Souhaite
110,8,3,Patience,https://x-files.fandom.com/wiki/Patience
111,8,4,Roadrunners,https://x-files.fandom.com/wiki/Roadrunners
112,8,5,Invocation,https://x-files.fandom.com/wiki/Invocation
113,8,6,Redrum,https://x-files.fandom.com/wiki/Redrum
114,8,7,Via Negativa,https://x-files.fandom.com/wiki/Via_Negativa
115,8,8,Surekill,https://x-files.fandom.com/wiki/Surekill
116,8,9,Salvage,https://x-files.fandom.com/wiki/Salvage
117,8,10,Badlaa,https://x-files.fandom.com/wiki/Badlaa
118,8,12,Medusa,https://x-files.fandom.com/wiki/Medusa
119,8,17,Empedocles,https://x-files.fandom.com/wiki/Empedocles
120,8,19,Alone,https://x-files.fandom.com/wiki/Alone
121,9,3,Daemonicus,https://x-files.fandom.com/wiki/Daemonicus
122,9,4,4-D,https://x-files.fandom.com/wiki/4-D
123,9,5,Lord of the Flies,https://x-files.fandom.com/wiki/Lord_of_the_Flies
124,9,7,John Doe,https://x-files.fandom.com/wiki/John_Doe
125,9,8,Hellbound,https://x-files.fandom.com/wiki/Hellbound
126,9,11,Audrey Pauley,https://x-files.fandom.com/wiki/Audrey_Pauley_(episode)
127,9,12,Underneath,https://x-files.fandom.com/wiki/Underneath
128,9,13,Improbable,https://x-files.fandom.com/wiki/Improbable
129,9,14,Scary Monsters,https://x-files.fandom.com/wiki/Scary_Monsters
130,9,17,Release,https://x-files.fandom.com/wiki/Release
131,9,18,Sunshine Days,https://x-files.fandom.com/wiki/Sunshine_Days
132,10,2,Founder's Mutation,https://x-files.fandom.com/wiki/Founder%27s_Mutation
133,10,3,Mulder and Scully Meet the Were-Monster,https://x-files.fandom.com/wiki/Mulder_and_Scully_Meet_the_Were-Monster
134,10,4,Home Again,https://x-files.fandom.com/wiki/Home_Again
135,10,5,Babylon,https://x-files.fandom.com/wiki/Babylon
136,11,2,This,https://x-files.fandom.com/wiki/This
137,11,3,Plus One,https://x-files.fandom.com/wiki/Plus_One
138,11,4,The Lost Art of Forehead Sweat,https://x-files.fandom.com/wiki/The_Lost_Art_of_Forehead_Sweat
139,11,6,Kitten,https://x-files.fandom.com/wiki/Kitten
140,11,7,Rm9sbG93ZXJz,https://x-files.fandom.com/wiki/Rm9sbG93ZXJz
141,11,8,Familiar,https://x-files.fandom.com/wiki/Familiar
142,11,9,Nothing Lasts Forever,https://x-files.fandom.com/wiki/Nothing_Lasts_Forever
